System,Utterance,Bleurt,WordInfoLost,WordErrorRate,TranslationEditRate,MatchErrorRate,ExtendedEditDistance,CharErrorRate,Infolm_fisher_rao,Infolm_linf,Infolm_l2,Infolm_l1,Infolm_ab,Infolm_beta,Infolm_renyi,Infolm_alpha,Infolm_kl,DepthScore,baryscore_W,baryscore_SD_10,baryscore_SD_1,baryscore_SD_5,MoverScore,BERTScore,Chrfpp,BLEU,ROUGE_2,ROUGE_1,ROUGE_L,JS_2,JS_1,ROUGE_WE_2,ROUGE_WE_1,Context,Fact,ref1,hyp,H:Understandable,H:Natural,H:Maintains Context,H:Engaging,H:Uses Knowledge,H:Overall
KV-MemNN,0,1.3024212,1.0,2.799999952316284,2.799999952316284,1.0,0.8422392010688782,3.529411792755127,2.403640985488892,0.1428409218788147,0.2576676309108734,1.6283278465270996,2.979354858398437,3.641069889068604,1.0354772806167605,2.8801944255828857,4.493835926055908,0.1204902042244894,0.6929304414481678,0.8966528439657138,0.8687222901616649,0.8942262686291862,0.0408560075265549,-0.4324978291988373,-0.0765072405338287,-0.0,-0.0,-0.1666666666666666,-0.1666666666666666,0.6931471805599454,0.6931471805599453,-0.0,-0.1666666666666666,"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","ha ha i'm so shy
","i know what you mean spend most nights cuddling my dog and star watching
",1.0,3.0,1.0,3.0,0.6666666666666666,2.0
KV-MemNN,1,1.1818832,0.9941520690917968,2.0,2.0,0.9473684430122375,0.7525179982185364,1.2325581312179563,2.3555076122283936,0.091741681098938,0.1837733834981918,1.6271507740020752,3.2033767700195312,3.1909570693969727,1.010551691055298,2.833903551101685,4.172050476074219,0.1245223379939801,0.6821397985180752,0.8811918162632457,0.859881795108824,0.8793847486435293,0.0753236386332774,-0.4118475615978241,-0.1006288900971412,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","chicago has some great places to eat too .
","i will win , i am telling you . then i will drive my sx into the stars .
",0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,0.0,1.3333333333333333
KV-MemNN,2,1.5850667,1.0,3.0,3.0,1.0,0.706924319267273,1.7105263471603394,2.4664549827575684,0.152628019452095,0.2990890443325043,1.7013596296310425,2.07623291015625,4.774760723114014,1.224519968032837,3.204473733901977,4.5793328285217285,0.1144271838908587,0.647724751363827,0.8440433924976762,0.8167501155704529,0.8417006122334393,-0.09672335372175,-0.5470355749130249,-0.1574057787656784,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,"hi ! how are you ? i just moved from germany to usa , nice place so far !
that's great , i am a grad student
do you have any hobbies ? i really love sky diving , rollercoasters and cooking shows !
","your persona: i enjoy reading journals and guides related to psychology.
your persona: my parents taught me survival skills.
your persona: i am also a graduate student.
your persona: i walk dogs for a living.
your persona: i'm an avid kayaker.
","kayaking and reading psychology books
","you are going skydiving ? working on an acrylic canvas peace for a skydiving school
",1.0,2.6666666666666665,2.0,3.0,0.3333333333333333,3.0
KV-MemNN,3,1.2218949,0.9916666746139526,0.9333333373069764,0.9333333373069764,0.9333333373069764,0.6883977651596069,0.7285714149475098,2.1689813137054443,0.0547004975378513,0.1533192247152328,1.5052310228347778,2.574848175048828,2.804525852203369,0.7420032024383545,2.276211261749268,3.366306781768799,0.0980890922010163,0.6192734965875916,0.8668929571783717,0.8382589567243748,0.8644462982595378,-0.0326769996388939,-0.4453121721744537,-0.0956610292196273,-0.0,-0.0,-0.0769230769230769,-0.0769230769230769,0.6931471805599453,0.6931471805599453,-0.0,-0.0769230769230769,"hello , how are you today ? do you like rabbits ?
no i rather dog . i own two of them .
i volunteer at a shelter , they are adorable . what do you do ?
i'm a teacher and i love children .
kids are great . i donate a lot of my income to several childrens programs .
i would do that more often too if i had a larger income .
i do not have a large income , just believe in helping others .
do you like gardening ? i own a garden .
i do love gardening . i work in a shipyard .
i love the smell of the flowers in the air .
i do too , it is one of lifes greatest pleasures .
","your persona: i'm a woman.
your persona: i work as a school teacher.
your persona: i attend church every week.
your persona: i enjoy gardening and walking outdoors.
your persona: i have a dogs.
","you life is so short . some time you forget about the little things .
","oh , you should start a rose garden
",1.0,3.0,3.0,3.0,0.6666666666666666,4.666666666666667
KV-MemNN,4,1.0011262,0.9558823704719543,0.8235294222831726,0.8235294222831726,0.8235294222831726,0.6594871878623962,0.7027027010917664,2.219789266586304,0.0660386458039283,0.2068149447441101,1.5239765644073486,2.7808876037597656,2.795637607574463,0.8174681663513184,2.4444348812103267,3.926353454589844,0.0959056918649676,0.5024608494236635,0.7836275512971962,0.7585194173329308,0.7814584231070877,-0.1580813430042496,-0.5752491950988771,-0.1704221963882446,-0.0,-0.0,-0.2857142857142857,-0.2142857142857142,0.6931471805599452,0.5935564152911266,-0.0,-0.2857142857142857,"hello ! who am i speaking with today ?
hi , my name is taylor . you might know my dad , he was a construction worker .
i may very well . what he in the military ? i was .
no , do you like coffee ? because i love it !
no . i don't drink coffee .
what ? well how about alcohol , i hate alcohol and the color pink
i don't drink alcohol . my favorite color is blue . navy blue .
","your persona: i don't drink alcohol.
your persona: i enjoy mountain biking as a hobby.
your persona: my father was a construction worker.
your persona: i hate the color pink.
your persona: i'm a huge coffee lover.
","i love blue too , i also enjoy mountain biking . have you ever tried it ?
","i like pink , i think blue is too masculine color .
",1.0,1.6666666666666667,2.6666666666666665,2.333333333333333,0.0,2.333333333333333
KV-MemNN,5,1.2460269,1.0,1.1111111640930176,1.1111111640930176,1.0,0.709864616394043,0.9722222089767456,2.442111253738404,0.1182114109396934,0.2742626070976257,1.7307652235031128,2.766918182373047,3.551308870315552,1.0829471349716189,2.96599555015564,3.9127044677734375,0.1086521456149706,0.5633782395413,0.8130781461636019,0.7825418332758589,0.8103995252319182,-0.1010895802819636,-0.4915368258953095,-0.1131196394562721,-0.0,-0.0,-0.1111111111111111,-0.1111111111111111,0.6931471805599453,0.6931471805599453,-0.0,-0.1111111111111111,"hello . how are you today ?
i am a geek , because i love programming study for it now
i am a construction worker . i do not know much about computers
i am doing good , and you ? i also teach swimming locally
that must be interesting . i don't have time outside of house building to do much
that is fine , do you like death metal music ?
no , not really . i'm more into stuff from the eighties .
i see , i'm from india and you ?
ohio . pretty boring , really . just me and my 5 cats . do you have pets ?
do you like eighties music ? i love it .
yep . absolutely . great stuff . bon jovi , poison , journey . . . all the hair bands
no , i had a dog and a turtle in the past
that is cool . why don't you have pets now ?
yeah , i love those bands , you like hard stuff ?
like metallica ? they are definitely cool .
","your persona: i am studying to be a computer programmer.
your persona: i am a swim coach at my local pool.
your persona: my favorite music genre is death metal.
your persona: my family and i are from india.
","i do not want to talk about my pets
","yeah , i definitely like rock more than metal .
",1.0,3.0,2.6666666666666665,2.6666666666666665,0.0,3.333333333333333
KV-MemNN,6,0.85019755,0.9166666865348816,0.75,0.75,0.75,0.6485788226127625,0.6101694703102112,1.885239720344544,0.1002600193023681,0.1814949214458465,1.2806745767593384,2.0323143005371094,1.556915283203125,0.6069366931915283,1.95029616355896,2.121991872787476,0.0908488948957952,0.4545618999314124,0.7814087746988956,0.7405665277984248,0.7779315712294659,-0.2217130916484536,-0.5584829449653625,-0.2220391482114792,-0.0,-0.0909090909090909,-0.3333333333333333,-0.3333333333333333,0.6158640031927465,0.4939656500223078,-0.1818181818181818,-0.3333333333333333,"hey . where are you from ? i'm from a farm in wisconsin
i love ice cream what is your favorite ? mine is chocolate
mine is mint chocolate chip
","your persona: my wife and kids are the best.
your persona: my favorite ice cream flavor is chocolate.
your persona: i've three children.
your persona: i'm a plumber.
your persona: i love going to the park with my three children and my wife.
","i love wife and my kids they love chocolate ice cream also
","i get up early everyday and eat ice cream
",1.0,3.0,2.6666666666666665,3.0,0.6666666666666666,4.0
KV-MemNN,7,1.2047216,1.0,2.25,2.25,1.0,0.7750759720802307,1.7179486751556396,2.38360857963562,0.0942916721105575,0.1973128914833068,1.6559079885482788,3.1230125427246094,3.219557762145996,1.0551024675369265,2.9160373210906982,3.777232646942138,0.1094621183773797,0.6520836167019459,0.840856350555176,0.8186242616170891,0.8389781646344509,0.0183018613199872,-0.4599057734012604,-0.1262045055627823,-0.0,-0.0,-0.1666666666666666,-0.1666666666666666,0.6931471805599453,0.6931471805599452,-0.0,-0.1666666666666666,"hi . how are you ?
hello , i am very well . and you ?
i am good . do you have a favorite band ?
i do , i love metallica , i never heard them in india .
i love the rolling stones . i see their concert every year .
they are great too . so are the chili peppers .
yes . they're . what do you do ?
i am in college , studying it .
i'm too . economics major .
very nice . i'd love to travel .
that would be great ! we just bought a house so no travel soon
i am looking at a house as well .
i'm married and have two kids . we needed more space .
i'd like children and a husband one day .
i follow a raw diet . do you ?
","your persona: i'm a swim coach at my local pool.
your persona: my family and i are from india.
your persona: i'm studying to be a computer programmer.
your persona: my mother is very traditional while i prefer to be more free spirited.
","oh no . i prepare traditional dishes .
","i have a brother who lives in england , but sometimes he goes to my timeshare in mexico
",1.0,3.0,1.0,3.0,0.0,3.0
KV-MemNN,8,1.2216197,0.975000023841858,0.875,0.875,0.875,0.6959064602851868,0.7538461685180664,2.135127544403076,0.0619475319981575,0.1980901509523392,1.5462367534637451,2.150703430175781,2.5708942413330083,0.7230064272880554,2.2323429584503174,2.9257688522338867,0.0912028151815639,0.5285682030684103,0.8122587229595641,0.7865585668399894,0.8099366501340883,-0.1559080536931638,-0.5320485830307007,-0.1235060095787048,-0.0,-0.0714285714285714,-0.2,-0.2,0.6931471805599452,0.6931471805599452,-0.1428571428571428,-0.2,"hi ! i don't like the color orange .
hello . i like to shoot hoops , so orange balls are good with me .
that's amazing . i like dancing on weekends . you ?
right now i am applying for jobs , i want to work in a restaurant .
that is amazing . good luck . i do not like fashion though .
i get you , my favorite rapper is pretty stylish , travis scott .
i totally like travis . i liked doing chemistry too
awesome . my mom wanted to be a chemist , but ended up a dentist ! go figure !
it seems to be hard to be a chemist . what do you do ?
unemployed at the moment , i really want to work at a snazzy restaurant .
you will get it . do not worry . i now work in a nice bookstore .
","your persona: my mother is a dentist.
your persona: my favourite artist is travis scott.
your persona: i like playing basketball.
your persona: i'm currently looking for a job preferably at a restaurant.
","i love to read . i'd rack up a big bill working in a bookstore .
","i actually wait tables in a restaurant , you ?
",1.0,3.0,1.6666666666666667,2.0,0.0,2.333333333333333
KV-MemNN,9,1.2088624,0.9930555820465088,2.125,2.125,0.9444444179534912,0.8190045356750488,1.7894736528396606,2.307666301727295,0.0993914157152176,0.1652870327234268,1.626888632774353,2.5870361328125,3.677689552307129,0.889051616191864,2.5954430103302,4.055781841278076,0.1231061964882105,0.6833481674183504,0.9054635227330572,0.8796824180621744,0.9033037490863104,0.0126986626238434,-0.4362958371639252,-0.1126882135868072,-0.0,-0.0,-0.0,-0.0,0.6931471805599454,0.6931471805599453,-0.0,-0.1428571428571428,"hello . do you speak another language ?
hi , i love sports because my parents are athletic
my dad is works with electronics . i love the guitar and the violin
","your persona: my parents were both very athletic.
your persona: i got a new job just yesterday to be a life coach.
your persona: i love running and preparing for marathons.
your persona: i'm a clean eater.
","i do speak another language and you ?
","oh , cool ! electric or acoustic ? me , just got back from running to soccer practice
",1.0,2.6666666666666665,3.0,3.0,0.6666666666666666,4.333333333333333
