segment	document
1	tedtalk-1
2	tedtalk-1
3	tedtalk-1
4	tedtalk-1
5	tedtalk-1
6	tedtalk-1
7	tedtalk-1
8	tedtalk-1
9	tedtalk-1
10	tedtalk-1
11	tedtalk-1
12	tedtalk-1
13	tedtalk-1
14	tedtalk-1
15	tedtalk-1
16	tedtalk-1
17	tedtalk-1
18	tedtalk-1
19	tedtalk-1
20	tedtalk-1
21	tedtalk-1
22	tedtalk-1
23	tedtalk-1
24	tedtalk-1
25	tedtalk-1
26	tedtalk-1
27	tedtalk-1
28	tedtalk-1
29	tedtalk-1
30	tedtalk-1
31	tedtalk-1
32	tedtalk-1
33	tedtalk-1
34	tedtalk-1
35	tedtalk-1
36	tedtalk-1
37	tedtalk-1
38	tedtalk-1
39	tedtalk-1
40	tedtalk-1
41	tedtalk-1
42	tedtalk-1
43	tedtalk-1
44	tedtalk-1
45	tedtalk-1
46	tedtalk-1
47	tedtalk-1
48	tedtalk-1
49	tedtalk-1
50	tedtalk-1
51	tedtalk-1
52	tedtalk-1
53	tedtalk-1
54	tedtalk-1
55	tedtalk-1
56	tedtalk-1
57	tedtalk-1
58	tedtalk-1
59	tedtalk-1
60	tedtalk-1
61	tedtalk-1
62	tedtalk-1
63	tedtalk-1
64	tedtalk-1
65	tedtalk-1
66	tedtalk-1
67	tedtalk-1
68	tedtalk-1
69	tedtalk-1
70	tedtalk-1
71	tedtalk-1
72	tedtalk-1
73	tedtalk-1
74	tedtalk-1
75	tedtalk-1
76	tedtalk-1
77	tedtalk-1
78	tedtalk-1
79	tedtalk-1
80	tedtalk-1
81	tedtalk-1
82	tedtalk-1
83	tedtalk-1
84	tedtalk-1
85	tedtalk-1
86	tedtalk-1
87	tedtalk-1
88	tedtalk-1
89	tedtalk-1
90	tedtalk-1
91	tedtalk-1
92	tedtalk-1
93	tedtalk-1
94	tedtalk-1
95	tedtalk-1
96	tedtalk-1
97	tedtalk-1
98	tedtalk-1
99	tedtalk-1
100	tedtalk-1
101	tedtalk-1
102	tedtalk-1
103	tedtalk-1
104	tedtalk-1
105	tedtalk-1
106	tedtalk-1
107	tedtalk-1
108	tedtalk-1
