segment	document
1	text_205
2	text_205
3	text_205
4	text_205
5	text_205
6	text_205
7	text_205
8	text_205
9	text_205
10	text_205
11	text_205
12	text_205
13	text_205
14	text_205
15	text_205
16	text_205
17	text_205
18	text_205
19	text_205
20	text_205
21	text_205
22	text_205
23	text_205
24	text_205
25	text_205
26	text_205
27	text_205
1	text_34
2	text_34
3	text_34
4	text_34
5	text_34
6	text_34
7	text_34
8	text_34
1	text_5
2	text_5
3	text_5
4	text_5
5	text_5
6	text_5
7	text_5
8	text_5
9	text_5
1	text_151
2	text_151
3	text_151
4	text_151
5	text_151
6	text_151
7	text_151
8	text_151
9	text_151
10	text_151
11	text_151
1	text_76
2	text_76
3	text_76
4	text_76
5	text_76
6	text_76
7	text_76
8	text_76
9	text_76
10	text_76
11	text_76
12	text_76
13	text_76
14	text_76
15	text_76
16	text_76
17	text_76
18	text_76
19	text_76
20	text_76
21	text_76
22	text_76
23	text_76
24	text_76
25	text_76
26	text_76
27	text_76
28	text_76
29	text_76
30	text_76
31	text_76
32	text_76
33	text_76
34	text_76
35	text_76
36	text_76
37	text_76
38	text_76
39	text_76
40	text_76
41	text_76
42	text_76
43	text_76
44	text_76
45	text_76
46	text_76
47	text_76
48	text_76
49	text_76
50	text_76
51	text_76
52	text_76
1	text_166
2	text_166
3	text_166
4	text_166
5	text_166
1	text_21
2	text_21
3	text_21
4	text_21
5	text_21
6	text_21
7	text_21
8	text_21
9	text_21
10	text_21
11	text_21
12	text_21
13	text_21
14	text_21
15	text_21
16	text_21
17	text_21
18	text_21
19	text_21
20	text_21
21	text_21
22	text_21
23	text_21
24	text_21
25	text_21
26	text_21
27	text_21
28	text_21
29	text_21
30	text_21
31	text_21
32	text_21
33	text_21
34	text_21
35	text_21
36	text_21
1	text_140
2	text_140
3	text_140
4	text_140
5	text_140
6	text_140
7	text_140
8	text_140
9	text_140
10	text_140
11	text_140
12	text_140
13	text_140
14	text_140
15	text_140
16	text_140
17	text_140
18	text_140
19	text_140
20	text_140
21	text_140
22	text_140
23	text_140
1	text_67
2	text_67
3	text_67
4	text_67
5	text_67
6	text_67
7	text_67
8	text_67
9	text_67
10	text_67
11	text_67
12	text_67
13	text_67
14	text_67
15	text_67
16	text_67
17	text_67
18	text_67
1	text_35
2	text_35
3	text_35
4	text_35
5	text_35
6	text_35
7	text_35
8	text_35
9	text_35
10	text_35
11	text_35
12	text_35
13	text_35
14	text_35
15	text_35
16	text_35
17	text_35
18	text_35
19	text_35
20	text_35
21	text_35
22	text_35
23	text_35
24	text_35
25	text_35
26	text_35
27	text_35
28	text_35
29	text_35
30	text_35
31	text_35
32	text_35
33	text_35
1	text_42
2	text_42
3	text_42
4	text_42
5	text_42
6	text_42
7	text_42
8	text_42
9	text_42
10	text_42
11	text_42
12	text_42
13	text_42
14	text_42
15	text_42
16	text_42
17	text_42
18	text_42
19	text_42
20	text_42
21	text_42
22	text_42
23	text_42
24	text_42
25	text_42
26	text_42
27	text_42
28	text_42
29	text_42
30	text_42
31	text_42
32	text_42
33	text_42
34	text_42
35	text_42
36	text_42
37	text_42
38	text_42
39	text_42
40	text_42
41	text_42
42	text_42
43	text_42
44	text_42
45	text_42
46	text_42
47	text_42
48	text_42
49	text_42
50	text_42
51	text_42
52	text_42
53	text_42
54	text_42
55	text_42
56	text_42
57	text_42
58	text_42
59	text_42
60	text_42
61	text_42
1	text_178
2	text_178
3	text_178
4	text_178
5	text_178
6	text_178
7	text_178
8	text_178
9	text_178
10	text_178
1	text_130
2	text_130
3	text_130
4	text_130
5	text_130
6	text_130
7	text_130
8	text_130
9	text_130
10	text_130
11	text_130
12	text_130
13	text_130
14	text_130
15	text_130
16	text_130
17	text_130
18	text_130
19	text_130
20	text_130
21	text_130
22	text_130
23	text_130
24	text_130
25	text_130
26	text_130
1	text_132
2	text_132
3	text_132
4	text_132
5	text_132
6	text_132
7	text_132
8	text_132
9	text_132
10	text_132
11	text_132
12	text_132
13	text_132
14	text_132
15	text_132
16	text_132
17	text_132
18	text_132
19	text_132
1	text_61
2	text_61
3	text_61
4	text_61
5	text_61
6	text_61
7	text_61
8	text_61
1	text_29
2	text_29
3	text_29
4	text_29
5	text_29
6	text_29
7	text_29
1	text_138
2	text_138
3	text_138
4	text_138
5	text_138
6	text_138
7	text_138
8	text_138
9	text_138
10	text_138
11	text_138
12	text_138
13	text_138
14	text_138
15	text_138
16	text_138
17	text_138
18	text_138
19	text_138
20	text_138
21	text_138
22	text_138
23	text_138
24	text_138
25	text_138
26	text_138
27	text_138
28	text_138
29	text_138
30	text_138
31	text_138
32	text_138
33	text_138
34	text_138
35	text_138
36	text_138
37	text_138
38	text_138
39	text_138
1	text_136
2	text_136
3	text_136
4	text_136
5	text_136
6	text_136
7	text_136
8	text_136
9	text_136
10	text_136
1	text_181
2	text_181
3	text_181
4	text_181
5	text_181
6	text_181
7	text_181
8	text_181
9	text_181
10	text_181
11	text_181
12	text_181
13	text_181
14	text_181
15	text_181
16	text_181
